Fecha,Archivo Original,Proveedor,Pedido,Estado,Ruta Final
2026-01-23 01:46:00,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1392_001.pdf,HNTOOLS,2601188,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\HnTools_Albaranes\2026-01-23_2601188.pdf
2026-01-23 01:46:00,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1393_001.pdf,HNTOOLS,2601251,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\HnTools_Albaranes\2026-01-23_2601251.pdf
2026-01-23 03:09:15,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1394_001.pdf,GLOBAL_PARTS,01452,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\GlobalParts_Albaranes\2026-01-21_01452.pdf
2026-01-23 05:14:31,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1332_001.pdf,RS_TURIA,26006209,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\RsTuria_Albaranes\2026-01-15_26006209.pdf
2026-01-23 05:16:28,ocr.pdf,RS_TURIA,26006209,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\RsTuria_Albaranes\2026-01-15_26006209_DUPLICADO_13ac.pdf
2026-01-23 05:36:56,2026-01-21_01452.pdf,GLOBAL_PARTS,01452,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\GlobalParts_Albaranes\2026-01-21_01452_DUPLICADO_7bf7.pdf
2026-01-23 05:37:30,2026-01-21_01452.pdf,GLOBAL_PARTS,0100001452,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\GlobalParts_Albaranes\2026-01-21_0100001452.pdf
2026-01-23 08:50:42,TEMP_Pag0_HNTOOLS.pdf,HNTOOLS,2600630,OK,C:\Users\Marius\PycharmProjects\pdf_classifier_app\data\output\HnTools_Albaranes\2026-01-23_2600630.pdf
2026-01-23 08:50:42,TEMP_Pag1_HNTOOLS.pdf,HNTOOLS,2600847,OK,C:\Users\Marius\PycharmProjects\pdf_classifier_app\data\output\HnTools_Albaranes\2026-01-23_2600847.pdf
2026-01-23 08:50:42,TEMP_Pag2_CBM_IBERICA.pdf,CBM_IBERICA,4953815,OK,C:\Users\Marius\PycharmProjects\pdf_classifier_app\data\output\CBM_Albaranes\2026-01-20_4953815.pdf
2026-01-23 08:50:42,TEMP_Pag3_CBM_IBERICA.pdf,CBM_IBERICA,4953804,OK,C:\Users\Marius\PycharmProjects\pdf_classifier_app\data\output\CBM_Albaranes\2026-01-20_4953804.pdf
2026-01-23 08:50:42,TEMP_Pag4_EUROPART.pdf,EUROPART,N/A,OK,C:\Users\Marius\PycharmProjects\pdf_classifier_app\data\output\Revision_Manual\TEMP_Pag4_EUROPART.pdf
2026-01-23 08:50:42,TEMP_Pag5_EUROPART.pdf,EUROPART,02AL1318,OK,C:\Users\Marius\PycharmProjects\pdf_classifier_app\data\output\Europart_Albaranes\2026-01-20_02AL1318.pdf
2026-01-23 08:50:42,TEMP_Pag6_VOLVO_TRUCKS.pdf,VOLVO_TRUCKS,7360166,OK,C:\Users\Marius\PycharmProjects\pdf_classifier_app\data\output\Volvo_Albaranes\2026-01-21_7360166.pdf
2026-01-23 08:50:42,TEMP_Pag7_VOLVO_TRUCKS.pdf,VOLVO_TRUCKS,7360181,OK,C:\Users\Marius\PycharmProjects\pdf_classifier_app\data\output\Volvo_Albaranes\2026-01-21_7360181.pdf
2026-01-23 08:50:42,TEMP_Pag8_RS_TURIA.pdf,RS_TURIA,26009170,OK,C:\Users\Marius\PycharmProjects\pdf_classifier_app\data\output\RsTuria_Albaranes\2026-01-21_26009170.pdf
2026-01-23 08:50:42,TEMP_Pag9_RS_TURIA.pdf,RS_TURIA,26008535,OK,C:\Users\Marius\PycharmProjects\pdf_classifier_app\data\output\RsTuria_Albaranes\2026-01-20_26008535.pdf
2026-01-26 10:46:47,Bon de livraison client 4956751.pdf,CBM_IBERICA,4280462,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\CBM_Albaranes\2026-01-26_4280462.pdf
2026-01-26 13:36:05,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag0_HNTOOLS.pdf,HNTOOLS,2600630,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\HnTools_Albaranes\2026-01-26_2600630.pdf
2026-01-26 13:36:05,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag1_HNTOOLS.pdf,HNTOOLS,2600847,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\HnTools_Albaranes\2026-01-26_2600847.pdf
2026-01-26 13:36:05,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag2_CBM_IBERICA.pdf,CBM_IBERICA,4953815,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\CBM_Albaranes\2026-01-20_4953815.pdf
2026-01-26 13:36:05,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag3_CBM_IBERICA.pdf,CBM_IBERICA,4953804,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\CBM_Albaranes\2026-01-20_4953804.pdf
2026-01-26 13:36:05,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag4_EUROPART.pdf,EUROPART,N/A,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\Revision_Manual\SPLIT_Pag4_EUROPART.pdf
2026-01-26 13:36:05,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag5_EUROPART.pdf,EUROPART,02AL1318,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\Europart_Albaranes\2026-01-20_02AL1318.pdf
2026-01-26 13:36:05,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag6_VOLVO_TRUCKS.pdf,VOLVO_TRUCKS,7360166,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\Volvo_Albaranes\2026-01-21_7360166.pdf
2026-01-26 13:36:05,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag7_VOLVO_TRUCKS.pdf,VOLVO_TRUCKS,7360181,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\Volvo_Albaranes\2026-01-21_7360181.pdf
2026-01-26 13:36:05,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag8_RS_TURIA.pdf,RS_TURIA,26009170,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\RsTuria_Albaranes\2026-01-21_26009170.pdf
2026-01-26 13:36:05,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag9_RS_TURIA.pdf,RS_TURIA,26008535,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\RsTuria_Albaranes\2026-01-20_26008535.pdf
2026-01-26 13:40:39,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag0_HNTOOLS.pdf,HNTOOLS,2600630,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\HnTools_Albaranes\2026-01-26_2600630_DUPLICADO_bf50.pdf
2026-01-26 13:40:39,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag1_HNTOOLS.pdf,HNTOOLS,2600847,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\HnTools_Albaranes\2026-01-26_2600847_DUPLICADO_0a8f.pdf
2026-01-26 13:40:39,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag2_CBM_IBERICA.pdf,CBM_IBERICA,4953815,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\CBM_Albaranes\2026-01-20_4953815_DUPLICADO_4ab4.pdf
2026-01-26 13:40:39,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag3_CBM_IBERICA.pdf,CBM_IBERICA,4953804,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\CBM_Albaranes\2026-01-20_4953804_DUPLICADO_0c48.pdf
2026-01-26 13:40:39,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag4_EUROPART.pdf,EUROPART,N/A,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\Revision_Manual\SPLIT_Pag4_EUROPART_DUPLICADO_0ad8.pdf
2026-01-26 13:40:39,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag5_EUROPART.pdf,EUROPART,02AL1318,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\Europart_Albaranes\2026-01-20_02AL1318_DUPLICADO_53f7.pdf
2026-01-26 13:40:39,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag6_VOLVO_TRUCKS.pdf,VOLVO_TRUCKS,7360166,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\Volvo_Albaranes\2026-01-21_7360166_DUPLICADO_b4f1.pdf
2026-01-26 13:40:39,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag7_VOLVO_TRUCKS.pdf,VOLVO_TRUCKS,7360181,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\Volvo_Albaranes\2026-01-21_7360181_DUPLICADO_39e8.pdf
2026-01-26 13:40:39,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag8_RS_TURIA.pdf,RS_TURIA,26009170,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\RsTuria_Albaranes\2026-01-21_26009170_DUPLICADO_dd53.pdf
2026-01-26 13:40:39,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> SPLIT_Pag9_RS_TURIA.pdf,RS_TURIA,26008535,OK,C:\Users\marius.ion\Documents\pdf_classifier_app\data\output\RsTuria_Albaranes\2026-01-20_26008535_DUPLICADO_a6ca.pdf
2026-01-26 15:59:30,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> TEMP_Pag0_HNTOOLS.pdf,HNTOOLS,2600630,OK,C:\Users\Marius\PycharmProjects\pdf_classifier_app\data\output\HnTools_Albaranes\2026-01-26_2600630.pdf
2026-01-26 15:59:30,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> TEMP_Pag1_HNTOOLS.pdf,HNTOOLS,2600847,OK,C:\Users\Marius\PycharmProjects\pdf_classifier_app\data\output\HnTools_Albaranes\2026-01-26_2600847.pdf
2026-01-26 15:59:30,SVIMPRESION19_ZARAGOZA_OFICINA TECNICA_1395_001.pdf -> TEMP_Pag2_CBM_IBERICA.pdf,CBM_IBERICA,4953815115,OK,C:\Users\Marius\PycharmProjects\pdf_classifier_app\data\output\CBM_Albaranes\2026-01-20_4953815115.pdf
